id;siteId;assessmentCriteriaId;isActive
1;116;105;TRUE
2;134;30;TRUE
3;134;37;TRUE
4;134;5;TRUE
5;134;3;TRUE
6;134;39;TRUE
7;134;40;TRUE
8;134;18;TRUE
9;134;51;TRUE
10;134;52;TRUE
11;134;20;TRUE
12;134;2;TRUE
13;134;8;TRUE
14;134;12;TRUE
15;134;14;TRUE
16;134;34;TRUE
17;134;35;TRUE
18;134;7;TRUE
19;134;53;TRUE
20;134;54;TRUE
21;134;43;TRUE
22;134;45;TRUE
23;116;87;TRUE
24;134;49;TRUE
25;134;27;TRUE
26;134;44;TRUE
27;134;47;TRUE
28;134;46;TRUE
29;134;11;TRUE
30;134;9;TRUE
31;134;42;TRUE
32;134;19;TRUE
33;134;26;TRUE
34;134;31;TRUE
35;134;38;TRUE
36;134;32;TRUE
37;134;21;TRUE
38;134;25;TRUE
39;134;28;TRUE
40;134;50;TRUE
41;134;29;TRUE
42;134;15;TRUE
43;134;13;TRUE
44;134;17;TRUE
45;134;1;TRUE
46;134;6;TRUE
47;134;36;TRUE
48;134;23;TRUE
49;134;22;TRUE
50;134;24;1
51;134;41;1
52;134;33;1
53;134;4;1
54;134;16;1
55;116;86;1
56;135;30;1
57;135;37;1
58;135;5;1
59;135;3;1
60;135;39;1
61;135;40;1
62;135;18;1
63;135;51;1
64;135;52;1
65;135;20;1
66;135;2;1
67;135;8;1
68;135;12;1
69;135;14;1
70;135;34;1
71;135;35;1
72;135;7;1
73;135;53;1
74;135;54;1
75;135;43;1
76;135;45;1
77;116;88;1
78;135;49;1
79;135;27;1
80;135;44;1
81;135;47;1
82;135;46;1
83;135;11;1
84;135;9;1
85;135;42;1
86;135;19;1
87;135;26;1
88;135;31;1
89;135;38;1
90;135;32;1
91;135;21;1
92;135;25;1
93;135;28;1
94;135;50;1
95;135;29;1
96;135;15;1
97;135;13;1
98;135;17;1
99;135;1;1
100;135;6;1
101;135;36;1
102;135;23;1
103;135;22;1
104;135;24;1
105;135;41;1
106;135;33;1
107;135;4;1
108;135;16;1
109;116;104;1
110;136;30;1
111;136;37;1
112;136;5;1
113;136;3;1
114;136;39;1
115;136;40;1
116;136;18;1
117;136;51;1
118;136;52;1
119;136;20;1
120;136;2;1
121;136;8;1
122;136;12;1
123;136;14;1
124;136;34;1
125;136;35;1
126;136;7;1
127;136;53;1
128;136;54;1
129;136;43;1
130;136;45;1
131;116;85;1
132;136;49;1
133;136;27;1
134;136;44;1
135;136;47;1
136;136;46;1
137;136;11;1
138;136;9;1
139;136;42;1
140;136;19;1
141;136;26;1
142;136;31;1
143;136;38;1
144;136;32;1
145;136;21;1
146;136;25;1
147;136;28;1
148;136;50;1
149;136;29;1
150;136;15;1
151;136;13;1
152;136;17;1
153;136;1;1
154;136;6;1
155;136;36;1
156;136;23;1
157;136;22;1
158;136;24;1
159;136;41;1
160;136;33;1
161;136;4;1
162;136;16;1
163;116;93;1
164;137;30;1
165;137;37;1
166;137;5;1
167;137;3;1
168;137;39;1
169;137;40;1
170;137;18;1
171;137;51;1
172;137;52;1
173;137;20;1
174;137;2;1
175;137;8;1
176;137;12;1
177;137;14;1
178;137;34;1
179;137;35;1
180;137;7;1
181;137;53;1
182;137;54;1
183;137;43;1
184;137;45;1
185;116;94;1
186;137;49;1
187;137;27;1
188;137;44;1
189;137;47;1
190;137;46;1
191;137;11;1
192;137;9;1
193;137;42;1
194;137;19;1
195;137;26;1
196;137;31;1
197;137;38;1
198;137;32;1
199;137;21;1
200;137;25;1
201;137;28;1
202;137;50;1
203;137;29;1
204;137;15;1
205;137;13;1
206;137;17;1
207;137;1;1
208;137;6;1
209;137;36;1
210;137;23;1
211;137;22;1
212;137;24;1
213;137;41;1
214;137;33;1
215;137;4;1
216;137;16;1
217;116;108;1
218;138;30;1
219;138;37;1
220;138;5;1
221;138;3;1
222;138;39;1
223;138;40;1
224;138;18;1
225;138;51;1
226;138;52;1
227;138;20;1
228;138;2;1
229;138;8;1
230;138;12;1
231;138;14;1
232;138;34;1
233;138;35;1
234;138;7;1
235;138;53;1
236;138;54;1
237;138;43;1
238;138;45;1
239;116;84;1
240;138;49;1
241;138;27;1
242;138;44;1
243;138;47;1
244;138;46;1
245;138;11;1
246;138;9;1
247;138;42;1
248;138;19;1
249;138;26;1
250;138;31;1
251;138;38;1
252;138;32;1
253;138;21;1
254;138;25;1
255;138;28;1
256;138;50;1
257;138;29;1
258;138;15;1
259;138;13;1
260;138;17;1
261;138;1;1
262;138;6;1
263;138;36;1
264;138;23;1
265;138;22;1
266;138;24;1
267;138;41;1
268;138;33;1
269;138;4;1
270;138;16;1
271;116;97;1
272;139;30;1
273;139;37;1
274;139;5;1
275;139;3;1
276;139;39;1
277;139;40;1
278;139;18;1
279;139;51;1
280;139;52;1
281;139;20;1
282;139;2;1
283;139;8;1
284;139;12;1
285;139;14;1
286;139;34;1
287;139;35;1
288;139;7;1
289;139;53;1
290;139;54;1
291;139;43;1
292;139;45;1
293;116;91;1
294;139;49;1
295;139;27;1
296;139;44;1
297;139;47;1
298;139;46;1
299;139;11;1
300;139;9;1
301;139;42;1
302;139;19;1
303;139;26;1
304;139;31;1
305;139;38;1
306;139;32;1
307;139;21;1
308;139;25;1
309;139;28;1
310;139;50;1
311;139;29;1
312;139;15;1
313;139;13;1
314;139;17;1
315;139;1;1
316;139;6;1
317;139;36;1
318;139;23;1
319;139;22;1
320;139;24;1
321;139;41;1
322;139;33;1
323;139;4;1
324;139;16;1
325;116;80;1
326;140;30;1
327;140;37;1
328;140;5;1
329;140;3;1
330;140;39;1
331;140;40;1
332;140;18;1
333;140;51;1
334;140;52;1
335;140;20;1
336;140;2;1
337;140;8;1
338;140;12;1
339;140;14;1
340;140;34;1
341;140;35;1
342;140;7;1
343;140;53;1
344;140;54;1
345;140;43;1
346;140;45;1
347;116;109;1
348;140;49;1
349;140;27;1
350;140;44;1
351;140;47;1
352;140;46;1
353;140;11;1
354;140;9;1
355;140;42;1
356;140;19;1
357;140;26;1
358;140;31;1
359;140;38;1
360;140;32;1
361;140;21;1
362;140;25;1
363;140;28;1
364;140;50;1
365;140;29;1
366;140;15;1
367;140;13;1
368;140;17;1
369;140;1;1
370;140;6;1
371;140;36;1
372;140;23;1
373;140;22;1
374;140;24;1
375;140;41;1
376;140;33;1
377;140;4;1
378;140;16;1
379;116;92;1
380;141;30;1
381;141;37;1
382;141;5;1
383;141;3;1
384;141;39;1
385;141;40;1
386;141;18;1
387;141;51;1
388;141;52;1
389;141;20;1
390;141;2;1
391;141;8;1
392;141;12;1
393;141;14;1
394;141;34;1
395;141;35;1
396;141;7;1
397;141;53;1
398;141;54;1
399;141;43;1
400;141;45;1
401;116;95;1
402;141;49;1
403;141;27;1
404;141;44;1
405;141;47;1
406;141;46;1
407;141;11;1
408;141;9;1
409;141;42;1
410;141;19;1
411;141;26;1
412;141;31;1
413;141;38;1
414;141;32;1
415;141;21;1
416;141;25;1
417;141;28;1
418;141;50;1
419;141;29;1
420;141;15;1
421;141;13;1
422;141;17;1
423;141;1;1
424;141;6;1
425;141;36;1
426;141;23;1
427;141;22;1
428;141;24;1
429;141;41;1
430;141;33;1
431;141;4;1
432;141;16;1
433;116;90;1
434;116;115;1
435;116;112;1
436;116;102;1
437;116;100;1
438;116;103;1
439;116;101;1
440;116;107;1
441;116;110;1
442;116;111;1
443;116;81;1
444;116;106;1
445;116;99;1
446;116;98;1
447;116;96;1
448;116;113;1
449;116;82;1
450;137;98;1
451;143;30;1
452;143;37;1
453;143;5;1
454;143;3;1
455;143;39;1
456;143;40;1
457;143;18;1
458;143;51;1
459;143;52;1
460;143;20;1
461;143;2;1
462;143;8;1
463;143;12;1
464;143;14;1
465;143;34;1
466;143;35;1
467;143;7;1
468;143;53;1
469;143;54;1
470;143;43;1
471;143;45;1
472;137;96;1
473;143;49;1
474;143;27;1
475;143;44;1
476;143;47;1
477;143;46;1
478;143;11;1
479;143;9;1
480;143;42;1
481;143;19;1
482;143;26;1
483;143;31;1
484;143;38;1
485;143;32;1
486;143;21;1
487;143;25;1
488;143;28;1
489;143;50;1
490;143;29;1
491;143;15;1
492;143;13;1
493;143;17;1
494;143;1;1
495;143;6;1
496;143;36;1
497;143;23;1
498;143;22;1
499;143;24;1
500;143;41;1
501;143;33;1
502;143;4;1
503;143;16;1
504;137;113;1
505;144;30;1
506;144;37;1
507;144;5;1
508;144;3;1
509;144;39;1
510;144;40;1
511;144;18;1
512;144;51;1
513;144;52;1
514;144;20;1
515;144;2;1
516;144;8;1
517;144;12;1
518;144;14;1
519;144;34;1
520;144;35;1
521;144;7;1
522;144;53;1
523;144;54;1
524;144;43;1
525;144;45;1
526;137;82;1
527;144;49;1
528;144;27;1
529;144;44;1
530;144;47;1
531;144;46;1
532;144;11;1
533;144;9;1
534;144;42;1
535;144;19;1
536;144;26;1
537;144;31;1
538;144;38;1
539;144;32;1
540;144;21;1
541;144;25;1
542;144;28;1
543;144;50;1
544;144;29;1
545;144;15;1
546;144;13;1
547;144;17;1
548;144;1;1
549;144;6;1
550;144;36;1
551;144;23;1
552;144;22;1
553;144;24;1
554;144;41;1
555;144;33;1
556;144;4;1
557;144;16;1
558;137;83;1
559;145;30;1
560;145;37;1
561;145;5;1
562;145;3;1
563;145;39;1
564;145;40;1
565;145;18;1
566;145;51;1
567;145;52;1
568;145;20;1
569;145;2;1
570;145;8;1
571;145;12;1
572;145;14;1
573;145;34;1
574;145;35;1
575;145;7;1
576;145;53;1
577;145;54;1
578;145;43;1
579;145;45;1
580;137;114;1
581;145;49;1
582;145;27;1
583;145;44;1
584;145;47;1
585;145;46;1
586;145;11;1
587;145;9;1
588;145;42;1
589;145;19;1
590;145;26;1
591;145;31;1
592;145;38;1
593;145;32;1
594;145;21;1
595;145;25;1
596;145;28;1
597;145;50;1
598;145;29;1
599;145;15;1
600;145;13;1
601;145;17;1
602;145;1;1
603;145;6;1
604;145;36;1
605;145;23;1
606;145;22;1
607;145;24;1
608;145;41;1
609;145;33;1
610;145;4;1
611;145;16;1
612;137;89;1
613;146;30;1
614;146;37;1
615;146;5;1
616;146;3;1
617;146;39;1
618;146;40;1
619;146;18;1
620;146;51;1
621;146;52;1
622;146;20;1
623;146;2;1
624;146;8;1
625;146;12;1
626;146;14;1
627;146;34;1
628;146;35;1
629;146;7;1
630;146;53;1
631;146;54;1
632;146;43;1
633;146;45;1
634;192;115;1
635;146;49;1
636;146;27;1
637;146;44;1
638;146;47;1
639;146;46;1
640;146;11;1
641;146;9;1
642;146;42;1
643;146;19;1
644;146;26;1
645;146;31;1
646;146;38;1
647;146;32;1
648;146;21;1
649;146;25;1
650;146;28;1
651;146;50;1
652;146;29;1
653;146;15;1
654;146;13;1
655;146;17;1
656;146;1;1
657;146;6;1
658;146;36;1
659;146;23;1
660;146;22;1
661;146;24;1
662;146;41;1
663;146;33;1
664;146;4;1
665;146;16;1
666;69;90;1
667;147;30;1
668;147;37;1
669;147;5;1
670;147;3;1
671;147;39;1
672;147;40;1
673;147;18;1
674;147;51;1
675;147;52;1
676;147;20;1
677;147;2;1
678;147;8;1
679;147;12;1
680;147;14;1
681;147;34;1
682;147;35;1
683;147;7;1
684;147;53;1
685;147;54;1
686;147;43;1
687;147;45;1
688;69;102;1
689;147;49;1
690;147;27;1
691;147;44;1
692;147;47;1
693;147;46;1
694;147;11;1
695;147;9;1
696;147;42;1
697;147;19;1
698;147;26;1
699;147;31;1
700;147;38;1
701;147;32;1
702;147;21;1
703;147;25;1
704;147;28;1
705;147;50;1
706;147;29;1
707;147;15;1
708;147;13;1
709;147;17;1
710;147;1;1
711;147;6;1
712;147;36;1
713;147;23;1
714;147;22;1
715;147;24;1
716;147;41;1
717;147;33;1
718;147;4;1
719;147;16;1
720;69;114;1
721;148;30;1
722;148;37;1
723;148;5;1
724;148;3;1
725;148;39;1
726;148;40;1
727;148;18;1
728;148;51;1
729;148;52;1
730;148;20;1
731;148;2;1
732;148;8;1
733;148;12;1
734;148;14;1
735;148;34;1
736;148;35;1
737;148;7;1
738;148;53;1
739;148;54;1
740;148;43;1
741;148;45;1
742;148;49;1
743;148;27;1
744;148;44;1
745;148;47;1
746;148;46;1
747;148;11;1
748;148;9;1
749;148;42;1
750;148;19;1
751;148;26;1
752;148;31;1
753;148;38;1
754;148;32;1
755;148;21;1
756;148;25;1
757;148;28;1
758;148;50;1
759;148;29;1
760;148;15;1
761;148;13;1
762;148;17;1
763;148;1;1
764;148;6;1
765;148;36;1
766;148;23;1
767;148;22;1
768;148;24;1
769;148;41;1
770;148;33;1
771;148;4;1
772;148;16;1
773;149;30;1
774;149;37;1
775;149;5;1
776;149;3;1
777;149;39;1
778;149;40;1
779;149;18;1
780;149;51;1
781;149;52;1
782;149;20;1
783;149;2;1
784;149;8;1
785;149;12;1
786;149;14;1
787;149;34;1
788;149;35;1
789;149;7;1
790;149;53;1
791;149;54;1
792;149;43;1
793;149;45;1
794;149;49;1
795;149;27;1
796;149;44;1
797;149;47;1
798;149;46;1
799;149;11;1
800;149;9;1
801;149;42;1
802;149;19;1
803;149;26;1
804;149;31;1
805;149;38;1
806;149;32;1
807;149;21;1
808;149;25;1
809;149;28;1
810;149;50;1
811;149;29;1
812;149;15;1
813;149;13;1
814;149;17;1
815;149;1;1
816;149;6;1
817;149;36;1
818;149;23;1
819;149;22;1
820;149;24;1
821;149;41;1
822;149;33;1
823;149;4;1
824;149;16;1
825;197;30;1
826;197;37;1
827;197;5;1
828;197;3;1
829;197;39;1
830;197;40;1
831;197;18;1
832;197;51;1
833;197;52;1
834;197;20;1
835;197;2;1
836;197;8;1
837;197;12;1
838;197;14;1
839;197;34;1
840;197;35;1
841;197;7;1
842;197;53;1
843;197;54;1
844;197;43;1
845;197;45;1
846;197;49;1
847;197;27;1
848;197;44;1
849;197;47;1
850;197;46;1
851;197;11;1
852;197;9;1
853;197;42;1
854;197;19;1
855;197;26;1
856;197;31;1
857;197;38;1
858;197;32;1
859;197;21;1
860;197;25;1
861;197;28;1
862;197;50;1
863;197;29;1
864;197;15;1
865;197;13;1
866;197;17;1
867;197;1;1
868;197;6;1
869;197;36;1
870;197;23;1
871;197;22;1
872;197;24;1
873;197;41;1
874;197;33;1
875;197;4;1
876;197;16;1
877;92;89;1
878;150;30;1
879;150;37;1
880;150;5;1
881;150;3;1
882;150;39;1
883;150;40;1
884;150;18;1
885;150;51;1
886;150;52;1
887;150;20;1
888;150;2;1
889;150;8;1
890;150;12;1
891;150;14;1
892;150;34;1
893;150;35;1
894;150;7;1
895;150;53;1
896;150;54;1
897;150;43;1
898;150;45;1
899;92;100;1
900;150;49;1
901;150;27;1
902;150;44;1
903;150;47;1
904;150;46;1
905;150;11;1
906;150;9;1
907;150;42;1
908;150;19;1
909;150;26;1
910;150;31;1
911;150;38;1
912;150;32;1
913;150;21;1
914;150;25;1
915;150;28;1
916;150;50;1
917;150;29;1
918;150;15;1
919;150;13;1
920;150;17;1
921;150;1;1
922;150;6;1
923;150;36;1
924;150;23;1
925;150;22;1
926;150;24;1
927;150;41;1
928;150;33;1
929;150;4;1
930;150;16;1
931;92;112;1
932;151;30;1
933;151;37;1
934;151;5;1
935;151;3;1
936;151;39;1
937;151;40;1
938;151;18;1
939;151;51;1
940;151;52;1
941;151;20;1
942;151;2;1
943;151;8;1
944;151;12;1
945;151;14;1
946;151;34;1
947;151;35;1
948;151;7;1
949;151;53;1
950;151;54;1
951;151;43;1
952;151;45;1
953;115;87;1
954;151;49;1
955;151;27;1
956;151;44;1
957;151;47;1
958;151;46;1
959;151;11;1
960;151;9;1
961;151;42;1
962;151;19;1
963;151;26;1
964;151;31;1
965;151;38;1
966;151;32;1
967;151;21;1
968;151;25;1
969;151;28;1
970;151;50;1
971;151;29;1
972;151;15;1
973;151;13;1
974;151;17;1
975;151;1;1
976;151;6;1
977;151;36;1
978;151;23;1
979;151;22;1
980;151;24;1
981;151;41;1
982;151;33;1
983;151;4;1
984;151;16;1
985;115;99;1
986;152;30;1
987;152;37;1
988;152;5;1
989;152;3;1
990;152;39;1
991;152;40;1
992;152;18;1
993;152;51;1
994;152;52;1
995;152;20;1
996;152;2;1
997;152;8;1
998;152;12;1
999;152;14;1
1000;152;34;1